country,disaster_risk,disaster_category,governance_risk,logistics_risk,news_risk,final_risk_score,risk_level
Taiwan (Province of China),0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Tajikistan,0.3516944607850719,Medium Risk,0.658650934,0.75,0.0,0.44008634869626795,Medium Risk
Thailand,0.4288458689925228,Medium Risk,0.440231153,0.333333333,0.0,0.30060258874813073,Medium Risk
Timor-Leste,0.2695700091611007,Low Risk,0.567740495,0.5378787879008265,0.0,0.3437973230154818,Medium Risk
Togo,0.1239270486066023,Low Risk,0.620644304,0.75,0.0,0.37364283815165056,Medium Risk
Tokelau,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Tonga,0.4340518607614257,Medium Risk,0.326480982,0.5378787879008265,0.0,0.3246029076655631,Medium Risk
Trinidad and Tobago,0.2404447886419811,Low Risk,0.445336414,0.75,0.0,0.3589453006604953,Medium Risk
Tunisia,0.2639505891894067,Low Risk,0.539369054,0.5378787879008265,0.0,0.3352996077725583,Medium Risk
Turkmenistan,0.0,,0.681829317,0.5378787879008265,0.0,0.3049270262252066,Medium Risk
Turks and Caicos Islands,0.4111069788752297,Medium Risk,0.4632475918114286,0.5378787879008265,0.0,0.35305833964687117,Medium Risk
Tuvalu,0.5931603132142398,Medium Risk,0.30764372,0.5378787879008265,0.0,0.35967070527876654,Medium Risk
Türkiye,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Uganda,0.2713149094869184,Low Risk,0.592727677,0.5378787879008265,0.0,0.35048034359693625,Medium Risk
Ukraine,0.3466652792316312,Medium Risk,0.671227982,0.666666667,0.0,0.4211399820579078,Medium Risk
United Arab Emirates,0.0614229020110256,Low Risk,0.19151354,0.125,0.0,0.0944841105027564,Low Risk
United Kingdom of Great Britain and Northern Ireland,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
United Republic of Tanzania,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
United States Virgin Islands,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
United States of America,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Uruguay,0.3253257427268373,Low Risk,0.243345931,0.541666667,0.0,0.2775845851817093,Low Risk
Uzbekistan,0.2792094538337837,Low Risk,0.555860675,0.708333333,0.0,0.38585086545844594,Medium Risk
Vanuatu,0.3974418094819506,Medium Risk,0.409936352,0.5378787879008265,0.0,0.3363142373456943,Medium Risk
Venezuela (Bolivarian Republic of),0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Vietnam,0.4094549174143779,Medium Risk,0.45104773,0.416666667,0.0,0.31929232860359447,Medium Risk
Wallis and Futuna Islands,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Yemen,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Zambia,0.2692411419007238,Low Risk,0.53246157,0.5378787879008265,0.0,0.33489537495038757,Medium Risk
Zimbabwe,0.367522263332402,Medium Risk,0.729267184,0.75,0.0,0.4616973618331005,Medium Risk
